step 4840000	, total energy: 1894329.02
step 4850000	, total energy: 1889575.60
step 4860000	, total energy: 1889471.50
step 4870000	, total energy: 1877330.48
step 4880000	, total energy: 1888618.80
step 4890000	, total energy: 1887781.83
step 4900000	, total energy: 1894198.95
step 4910000	, total energy: 1902716.99
step 4920000	, total energy: 1906074.54
step 4930000	, total energy: 1903656.57
step 4940000	, total energy: 1907957.32
step 4950000	, total energy: 1903642.78
step 4960000	, total energy: 1906251.19
step 4970000	, total energy: 1905557.95
step 4980000	, total energy: 1906545.81
step 4990000	, total energy: 1902373.45
(0, 5034)
(5040, 15611)
[ 49.03953142 140.52957578 151.65601389] [ 57.22124395 112.75057911 143.20401159]
[ 49.03953142 140.52957578 151.65601389] [ 57.22124395 112.75057911 143.20401159]
[ 49.03953142 140.52957578 151.65601389] [ 57.22124395 112.75057911 143.20401159]
(15617, 0)
(0, 12321)
(12327, 19363)
[111.91360338 168.30150605 108.3766743 ] [ 87.95203259 197.3730649  136.46619996]
[111.91360338 168.30150605 108.3766743 ] [ 87.95203259 197.3730649  136.46619996]
[111.91360338 168.30150605 108.3766743 ] [ 87.95203259 197.3730649  136.46619996]
recal chain
(19369, 0)
(0, 21519)
(21525, 11389)
[177.56967746 134.11485562  37.32893764] [181.76476311 146.84477748  37.54760344]
[177.56967746 134.11485562  37.32893764] [181.76476311 146.84477748  37.54760344]
[177.56967746 134.11485562  37.32893764] [181.76476311 146.84477748  37.54760344]
(11383, 0)
(0, 11564)
(11558, 12215)
[151.6909533  168.69447636 124.03620749] [137.76425823 154.34006785 138.78535291]
[151.6909533  168.69447636 124.03620749] [137.76425823 154.34006785 138.78535291]
recal chain
[151.6909533  168.69447636 124.03620749] [137.76425823 154.34006785 138.78535291]
(12209, 0)
(0, 9345)
(9339, 3088)
[ 46.88879431 141.64076705  70.12174083] [ 53.47683753 178.82141156  46.8571918 ]
[ 46.88879431 141.64076705  70.12174083] [ 53.47683753 178.82141156  46.8571918 ]
[ 46.88879431 141.64076705  70.12174083] [ 53.47683753 178.82141156  46.8571918 ]
(3094, 0)
(0, 12986)
(12992, 8022)
[139.52143616 195.83160844  45.16734095] [131.59843236 181.17314847  13.32147451]
[139.52143616 195.83160844  45.16734095] [131.59843236 181.17314847  13.32147451]
[139.52143616 195.83160844  45.16734095] [131.59843236 181.17314847  13.32147451]
(8016, 0)
(0, 8435)
(8429, 9619)
[ 74.78399398 116.62276958 152.00737096] [108.23142054 112.32855805 125.57786024]
[ 74.78399398 116.62276958 152.00737096] [108.23142054 112.32855805 125.57786024]
[ 74.78399398 116.62276958 152.00737096] [108.23142054 112.32855805 125.57786024]
(9625, 0)
(0, 1184)
(1190, 2402)
[ 89.84052777  34.13747696 186.5903286 ] [104.10268052  37.30106462 148.23626925]
[ 89.84052777  34.13747696 186.5903286 ] [104.10268052  37.30106462 148.23626925]
[ 89.84052777  34.13747696 186.5903286 ] [104.10268052  37.30106462 148.23626925]
(2408, 0)
(0, 18473)
(18467, 1449)
[ 83.9408696  153.53724638 156.66883896] [ 93.14858404 139.66433446 181.16608207]
[ 83.9408696  153.53724638 156.66883896] [ 93.14858404 139.66433446 -15.12278438]
[ 83.9408696  153.53724638 156.66883896] [ 93.14858404 139.66433446 181.16608207]
(1443, 0)
(0, 10696)
(10690, 22337)
[  2.26393242  70.7569316  150.72285661] [196.83935548  58.4191949  182.67888036]
[  2.26393242  70.7569316  150.72285661] [  0.55048903  58.4191949  182.67888036]
[  2.26393242  70.7569316  150.72285661] [  0.55048903  58.4191949  182.67888036]
(22331, 0)
(0, 21574)
(21568, 15653)
[71.19092628 74.11091946 35.34386834] [77.59445797 66.64860563 20.23932229]
[71.19092628 74.11091946 35.34386834] [77.59445797 66.64860563 20.23932229]
[71.19092628 74.11091946 35.34386834] [77.59445797 66.64860563 20.23932229]
(15659, 0)
(0, 6623)
(6629, 5566)
[  2.07290547 107.65688303  83.81975937] [48.92058036 95.32346468 56.79431566]
[  2.07290547 107.65688303  83.81975937] [48.92058036 95.32346468 56.79431566]
[  2.07290547 107.65688303  83.81975937] [48.92058036 95.32346468 56.79431566]
(5572, 0)
(0, 22155)
(22149, 9955)
[167.78192942 102.24990991  28.9640876 ] [180.50576632  84.30007823 183.92158518]
[167.78192942 102.24990991  28.9640876 ] [180.50576632  84.30007823 183.92158518]
[167.78192942 102.24990991  28.9640876 ] [180.50576632  84.30007823 -12.36728128]
(9961, 0)
(0, 19538)
(19544, 1659)
[151.19885712 196.45325528 133.66986876] [ 94.04326869  25.49958911 136.46580738]
[151.19885712 196.45325528 133.66986876] [ 94.04326869  25.49958911 136.46580738]
[151.19885712 196.45325528 133.66986876] [ 94.04326869 221.78845556 136.46580738]
(1653, 0)
(0, 4530)
(4536, 12993)
[112.60473648 108.26832285 192.2956608 ] [131.42628702  72.68134765 192.18515016]
[112.60473648 108.26832285 192.2956608 ] [131.42628702  72.68134765  -4.10371629]
[112.60473648 108.26832285 192.2956608 ] [131.42628702  72.68134765 192.18515016]
(12999, 0)
(0, 2485)
(2479, 7785)
[169.55579191 124.12355603  21.54095302] [144.28379664 133.64768812  32.97289512]
[169.55579191 124.12355603  21.54095302] [144.28379664 133.64768812  32.97289512]
[169.55579191 124.12355603  21.54095302] [144.28379664 133.64768812  32.97289512]
(7791, 0)
(0, 7980)
(7974, 16016)
[ 45.83040474 175.79601126 156.42975912] [ 50.81908628 138.3519471  176.03391337]
[ 45.83040474 175.79601126 156.42975912] [ 50.81908628 138.3519471  176.03391337]
[ 45.83040474 175.79601126 156.42975912] [ 50.81908628 138.3519471  176.03391337]
(16010, 0)
(0, 14204)
(14210, 21763)
[ 75.82942849 202.11210626 148.27120867] [ 81.96718505  11.69775338 169.55814737]
[ 75.82942849 202.11210626 148.27120867] [ 81.96718505 207.98661983 169.55814737]
[ 75.82942849 202.11210626 148.27120867] [ 81.96718505 207.98661983 169.55814737]
(21757, 0)
(0, 5867)
(5873, 12579)
[ 93.84462436 199.88687164  91.98616137] [ 65.82085548   3.14171602 107.38698584]
[ 93.84462436 199.88687164  91.98616137] [ 65.82085548 199.43058247 107.38698584]
[ 93.84462436 199.88687164  91.98616137] [ 65.82085548 199.43058247 107.38698584]
(12573, 0)
(0, 11956)
(11950, 12145)
[155.03767848  96.45271453  22.72661629] [174.33169632 117.39536256  38.86214998]
[155.03767848  96.45271453  22.72661629] [174.33169632 117.39536256  38.86214998]
[155.03767848  96.45271453  22.72661629] [174.33169632 117.39536256  38.86214998]
(12139, 0)
(0, 21882)
(21876, 6174)
